County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Lee,2016,363,279,84,0,0,0,0,100,58,43,0,0,197,166,0
Lenoir,2016,193,171,22,0,0,0,0,97,51,40,0,0,193,0,0
Lincoln,2016,211,173,36,1,1,0,0,156,61,44,0,0,211,0,0
Macon,2016,345,321,23,1,0,0,0,101,48,35,0,0,345,0,0
Martin,2016,213,200,13,0,0,0,0,97,48,36,0,0,197,0,16
Mecklenburg,2016,366,244,115,6,1,0,0,154,77,44,0,9,242,115,0
Mitchell,2016,232,207,21,1,3,0,0,159,52,28,0,0,0,232,0
Montgomery,2016,365,324,41,0,0,0,0,87,51,37,0,0,273,92,0
New Hanover,2016,359,329,30,0,0,0,0,90,50,31,0,0,178,181,0
Person,2016,214,192,21,1,0,0,0,101,51,40,0,0,214,0,0
Pitt,2016,288,242,46,0,0,0,0,100,55,38,0,0,162,126,0
Rockingham,2016,212,183,28,1,0,0,0,101,58,42,0,0,212,0,0
Rowan,2016,360,313,47,0,0,0,0,97,58,37,0,0,360,0,0
Swain,2016,365,280,73,8,4,0,0,174,59,40,0,0,180,185,0
Union,2016,209,165,41,3,0,0,0,108,67,44,0,0,209,0,0
Wake,2016,366,238,125,3,0,0,0,135,64,46,0,2,179,185,0
Yancey,2016,204,145,55,4,0,0,0,115,67,46,0,0,204,0,0
Alexander,2017,293,272,21,0,0,0,0,93,49,38,0,0,234,0,59
Avery,2017,360,332,28,0,0,0,0,93,49,40,0,0,355,5,0
Buncombe,2017,365,325,40,0,0,0,0,84,51,39,0,0,184,181,0
Caldwell,2017,239,209,30,0,0,0,0,90,58,42,0,0,239,0,0
Carteret,2017,341,330,11,0,0,0,0,64,46,35,0,0,341,0,0
Caswell,2017,291,275,16,0,0,0,0,71,48,37,0,0,234,0,57
Catawba,2017,348,282,66,0,0,0,0,86,56,33,0,0,0,348,0
Cumberland,2017,365,268,97,0,0,0,0,100,58,43,0,0,162,202,1
Davidson,2017,359,294,65,0,0,0,0,73,55,35,0,0,0,359,0
Durham,2017,365,269,96,0,0,0,0,100,58,43,0,0,168,197,0
Edgecombe,2017,362,319,43,0,0,0,0,80,51,37,0,0,199,163,0
Forsyth,2017,365,290,75,0,0,0,0,100,60,43,0,12,221,132,0
Graham,2017,227,200,27,0,0,0,0,87,51,43,0,0,227,0,0
Granville,2017,243,210,33,0,0,0,0,93,51,43,0,0,243,0,0
Guilford,2017,365,289,75,1,0,0,0,112,59,42,0,0,201,149,15
Haywood,2017,282,232,50,0,0,0,0,84,58,44,0,0,241,41,0
Hyde,2017,114,113,1,0,0,0,0,52,35,18,0,0,0,114,0
Jackson,2017,256,206,50,0,0,0,0,100,64,44,0,0,199,57,0
Johnston,2017,365,289,76,0,0,0,0,93,56,40,0,0,160,205,0
Lee,2017,360,276,84,0,0,0,0,97,58,43,0,0,211,149,0
Lenoir,2017,304,279,25,0,0,0,0,90,50,35,0,0,240,0,64
Lincoln,2017,238,207,31,0,0,0,0,93,54,42,0,0,238,0,0
Macon,2017,347,335,12,0,0,0,0,74,46,33,0,0,347,0,0
Martin,2017,244,231,13,0,0,0,0,74,48,38,0,0,244,0,0
Mecklenburg,2017,365,228,134,3,0,0,0,115,64,46,0,2,184,179,0
Mitchell,2017,338,313,25,0,0,0,0,93,47,25,0,0,0,338,0
Montgomery,2017,365,343,22,0,0,0,0,71,49,38,0,0,270,95,0
New Hanover,2017,356,331,25,0,0,0,0,67,49,34,0,0,178,178,0
Person,2017,242,220,22,0,0,0,0,74,50,41,0,0,242,0,0
Pitt,2017,365,313,52,0,0,0,0,87,54,39,0,0,189,176,0
Rockingham,2017,240,208,32,0,0,0,0,84,54,42,0,0,240,0,0
Rowan,2017,355,331,24,0,0,0,0,80,49,38,0,0,355,0,0
Swain,2017,365,309,56,0,0,0,0,71,53,38,0,0,185,180,0
Union,2017,236,204,31,1,0,0,0,115,58,43,0,0,236,0,0
Wake,2017,365,252,113,0,0,0,0,100,61,44,0,5,161,199,0
Yancey,2017,202,155,47,0,0,0,0,93,61,44,0,0,202,0,0
Alexander,2018,233,198,35,0,0,0,0,100,58,40,0,0,233,0,0
Avery,2018,357,328,29,0,0,0,0,87,50,38,0,0,346,11,0
Buncombe,2018,364,317,47,0,0,0,0,93,53,35,0,0,193,171,0
Caldwell,2018,244,209,35,0,0,0,0,93,58,39,0,0,244,0,0
Carteret,2018,222,202,20,0,0,0,0,77,49,38,0,0,222,0,0
