Date,Source,Site ID,POC,NO2,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
10/16/2023,AQS,371190041,1,14.7,ppb,13,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/17/2023,AQS,371190041,1,19.7,ppb,18,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/19/2023,AQS,371190041,1,23.2,ppb,22,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/20/2023,AQS,371190041,1,11.3,ppb,10,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/21/2023,AQS,371190041,1,9.8,ppb,8,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/22/2023,AQS,371190041,1,10.7,ppb,9,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/23/2023,AQS,371190041,1,30.1,ppb,28,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/24/2023,AQS,371190041,1,26.7,ppb,25,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/25/2023,AQS,371190041,1,34.1,ppb,32,Garinger High School,19,79,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/26/2023,AQS,371190041,1,28.6,ppb,26,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/27/2023,AQS,371190041,1,21.1,ppb,20,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/28/2023,AQS,371190041,1,11.8,ppb,10,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/29/2023,AQS,371190041,1,11.5,ppb,10,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/30/2023,AQS,371190041,1,10,ppb,9,Garinger High School,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
10/31/2023,AQS,371190041,1,10.3,ppb,9,Garinger High School,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.2401,-80.785683
1/1/2023,AQS,371190045,1,10.7,ppb,9,Remount,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.213171,-80.874084
1/2/2023,AQS,371190045,1,19,ppb,18,Remount,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.213171,-80.874084
1/3/2023,AQS,371190045,1,20.5,ppb,19,Remount,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.213171,-80.874084
1/4/2023,AQS,371190045,1,23.8,ppb,22,Remount,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.213171,-80.874084
1/5/2023,AQS,371190045,1,16.2,ppb,15,Remount,21,88,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.213171,-80.874084
1/6/2023,AQS,371190045,1,25.6,ppb,24,Remount,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.213171,-80.874084
1/7/2023,AQS,371190045,1,25.6,ppb,24,Remount,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.213171,-80.874084
1/8/2023,AQS,371190045,1,23.8,ppb,22,Remount,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.213171,-80.874084
1/9/2023,AQS,371190045,1,30.1,ppb,28,Remount,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.213171,-80.874084
1/10/2023,AQS,371190045,1,26.7,ppb,25,Remount,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.213171,-80.874084
1/11/2023,AQS,371190045,1,27.2,ppb,25,Remount,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.213171,-80.874084
1/12/2023,AQS,371190045,1,24.9,ppb,23,Remount,24,100,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.213171,-80.874084
1/13/2023,AQS,371190045,1,7.2,ppb,7,Remount,22,92,42602,Nitrogen dioxide (NO2),16740,"Charlotte-Concord-Gastonia, NC-SC",37,North Carolina,119,Mecklenburg,35.213171,-80.874084
